# Gene set generated on 2025-07-31T18:08:23 using cellxgene version 1.2.0
# Input data file was cellxgene_data/kirsten/qc_KNK_URT007_scRNA.TCR_jul25.h5ad, which was last modified on 2025-07-29T16:31:39
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rpl13,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rps10,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Gm57204,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Klf3,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rpl9,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Gpr18,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rps3a1,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Abcb1a,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rac2,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Ighm,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Apobec3,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rpl18,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Hcst,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Fau,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rpl27a,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rps15a,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rpl27,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Gmfg,
"Pop2 high (7/31/2025, 2:07:39 PM)",,H1f4,
Lung IN T cells_1,,Cd3g,
Lung IN T cells_1,,Cd3e,
Lung IN T cells_1,,Nkg7,
Lung IN T cells_1,,Ctsw,
Lung IN T cells_1,,Cxcr6,
Lung IN T cells_1,,Ctla2a,
Lung IN T cells_1,,Cd8b1,
Lung IN T cells_1,,Thy1,
Lung IN T cells_1,,Itk,
Lung IN T cells_1,,Rgs1,
Lung IN T cells_1,,Inpp4b,
Lung IN T cells_1,,Tnfaip3,
Lung IN T cells_1,,Ccl5,
Lung IN T cells_1,,Pdcd1,
Lung IN T cells_1,,Cd8a,
Lung IN T cells_1,,AW112010,
Lung IN T cells_1,,Prkch,
Lung IN T cells_1,,Dusp2,
Lung IN T cells_1,,H2-K1,
Lung IN T cells_1,,Cd3d,
Lung IN T cells_1,,Ifngr1,
Lung IN T cells_1,,Hcst,
Lung IN T cells_1,,Lat,
Lung IN T cells_1,,Ctla4,
Lung IN T cells_1,,Skap1,
Lung IN T cells_1,,H2-D1,
Lung IN T cells_1,,Lck,
Lung IN T cells_1,,Rps27,
Lung IN T cells_1,,Sh2d2a,
Lung IN T cells_1,,Zfp36l2,
Lung IN T cells_1,,Dennd4a,
Lung IN T cells_1,,Klrc1,
Lung IN T cells_1,,Klf6,
Lung IN T cells_1,,Rps21,
Lung IN T cells_1,,Malat1,
Lung IN T cells_1,,Ndfip1,
Lung IN T cells_1,,Ms4a4b,
Lung IN T cells_1,,S100a6,
Lung IN T cells_1,,Rps15a,
Lung IN T cells_1,,Fasl,
Lung IN T cells_1,,Tigit,
Lung IN T cells_1,,Itga1,
Lung IN T cells_1,,Themis,
Lung IN T cells_1,,Cd52,
Lung IN T cells_1,,Pnrc1,
Lung IN T cells_1,,Rpl13a,
Lung IN T cells_1,,Vps37b,
Lung IN T cells_1,,Grap2,
Lung IN T cells_1,,Rpl38,
Lung IN T cells_1,,Ier5l,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Tyrobp,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Alox5ap,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Ctsh,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Fcer1g,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Cd74,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Psap,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Gpx1,
"Pop2 high (7/31/2025, 2:05:46 PM)",,H2-Aa,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Ifi30,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Lyn,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Cybb,
"Pop2 high (7/31/2025, 2:05:46 PM)",,H2-DMa,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Ctss,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Spi1,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Ly86,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Napsa,
"Pop2 high (7/31/2025, 2:05:46 PM)",,H2-Ab1,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Plaur,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Ctsz,
"Pop2 high (7/31/2025, 2:05:46 PM)",,D17H6S56E-5,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Cd68,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Grn,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Syk,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Hmgn1,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Tpd52,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Plek,
"Pop2 high (7/31/2025, 2:05:46 PM)",,H2-Eb1,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Pld4,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Taldo1,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Cst3,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Unc93b1,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Cd24a,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Stmn1,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Cd9,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Gm2a,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Skap2,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Ncf1,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Sell,
"Pop2 high (7/31/2025, 2:05:46 PM)",,H2-DMb1,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Mpeg1,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Etv6,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Irf8,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Lyz2,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Csf2ra,
"Pop2 high (7/31/2025, 2:05:46 PM)",,H2az1,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Gm43305,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Dleu2,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Aldh2,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Serp1,
"Pop2 high (7/31/2025, 2:05:46 PM)",,Mef2c,
